Users,Total_Time(s),Avg_Latency(s),Avg_YOLO_FPS,Aggregate_FPS,GPU_Max(%),GPU_Avg(%),GPU_Min(%),Mem_Max(%),Mem_Avg(%),Mem_Min(%),Power_Max(W),Power_Avg(W),Power_Min(W),MPS_Limit(%),GPU_Price
1,44.16,0.0147,67.93,67.93,25,21.52,0,9.67,9.54,6.99,74.5,72.54,62.74,100.0,26990
2,47.69,0.0159,62.91,125.81,42,34.82,0,11.0,10.8,6.99,148.86,115.9,64.67,50.0,26990
3,55.08,0.0184,54.47,163.4,64,51.81,0,12.26,12.01,6.99,175.05,119.71,74.51,33.33,26990
4,62.13,0.0207,48.3,193.19,79,63.74,0,13.61,13.13,6.99,175.15,123.9,74.49,25.0,26990
5,82.51,0.0275,36.36,181.82,91,68.49,0,14.91,14.47,6.99,199.33,126.59,73.08,20.0,26990
6,94.68,0.0316,31.7,190.19,86,73.43,0,16.17,15.62,6.99,167.57,123.17,73.6,16.67,26990
7,116.37,0.0388,25.79,180.51,93,78.14,0,17.44,16.78,6.99,174.99,122.88,73.76,14.29,26990
8,133.78,0.0446,22.43,179.42,93,77.45,0,18.94,18.2,6.99,167.73,124.65,73.77,12.5,26990
9,150.89,0.0503,19.88,178.95,95,82.54,0,20.11,19.25,6.99,178.19,121.82,71.48,11.11,26990
10,173.41,0.0578,17.3,173.02,97,82.34,0,21.56,20.64,6.99,157.88,121.19,72.95,10.0,26990
11,193.5,0.0645,15.51,170.59,98,81.74,0,23.02,22.13,6.99,168.02,120.8,72.46,9.09,26990
12,209.23,0.0697,14.34,172.07,99,89.7,0,23.62,22.7,6.99,176.86,122.92,71.84,8.33,26990
13,229.32,0.0764,13.08,170.09,99,89.54,0,25.01,24.13,6.99,151.17,123.24,72.12,7.69,26990
14,242.33,0.0808,12.38,173.32,100,90.3,0,26.39,25.38,6.99,173.81,124.25,71.14,7.14,26990
15,262.83,0.0876,11.42,171.23,100,89.74,0,27.8,26.77,6.99,173.89,123.93,70.17,6.67,26990
16,284.63,0.0949,10.54,168.65,100,89.87,0,29.18,28.04,6.99,175.5,122.68,70.69,6.25,26990
17,303.33,0.1011,9.89,168.12,100,89.59,0,30.57,29.35,6.99,144.25,122.32,71.37,5.88,26990
