Users,Total_Time(s),Avg_Latency(s),Avg_YOLO_FPS,Aggregate_FPS,GPU_Max(%),GPU_Avg(%),GPU_Min(%),Mem_Max(%),Mem_Avg(%),Mem_Min(%),Power_Max(W),Power_Avg(W),Power_Min(W),MPS_Limit(%),GPU_Price
1,11.3,0.0038,265.49,265.49,63,48.0,0,3.15,3.02,1.43,242.23,211.28,42.38,100.0,46900
2,12.52,0.0042,239.59,479.19,74,64.54,0,3.75,3.58,1.43,302.3,282.49,161.7,50.0,46900
3,14.99,0.005,200.33,601.0,92,82.32,0,4.32,4.09,1.43,344.86,322.42,161.84,33.33,46900
4,18.83,0.0063,159.35,637.4,83,75.44,0,4.99,4.82,1.43,344.42,327.12,163.72,25.0,46900
5,21.36,0.0071,140.51,702.56,97,89.11,0,5.59,5.38,1.43,345.79,330.78,164.73,20.0,46900
6,26.51,0.0088,113.15,678.92,98,82.02,0,6.13,5.94,1.43,344.07,333.41,167.65,16.67,46900
7,28.56,0.0095,105.06,735.43,100,92.05,0,6.75,6.49,1.43,343.41,333.29,167.79,14.29,46900
8,31.51,0.0105,95.21,761.68,100,84.91,0,7.51,7.26,1.43,343.02,330.93,168.7,12.5,46900
9,34.02,0.0113,88.25,794.25,100,94.68,0,7.98,7.45,1.43,341.81,328.09,167.39,11.11,46900
10,36.09,0.012,83.19,831.9,100,94.78,0,8.71,8.02,1.43,342.95,325.05,167.59,10.0,46900
11,42.74,0.0142,70.26,772.86,100,96.11,0,9.16,8.39,1.43,342.41,326.56,166.27,9.09,46900
12,44.48,0.0148,67.54,810.52,100,96.14,0,9.87,9.09,1.43,342.24,327.12,166.73,8.33,46900
13,46.09,0.0154,65.19,847.44,100,96.25,0,10.57,9.77,1.43,345.15,327.36,166.42,7.69,46900
14,55.81,0.0186,53.8,753.17,100,97.69,0,10.82,10.08,1.43,340.39,329.77,169.47,7.14,46900
15,57.37,0.0191,52.34,785.15,100,96.75,0,11.49,10.67,1.43,341.65,328.2,169.65,6.67,46900
16,59.19,0.0197,50.72,811.51,100,97.35,0,12.16,11.37,1.43,340.16,327.84,160.43,6.25,46900
17,61.02,0.0203,49.18,836.12,100,96.88,0,12.83,11.98,1.43,339.71,326.06,162.94,5.88,46900
