Users,Total_Time(s),Avg_Latency(s),Avg_YOLO_FPS,Aggregate_FPS,GPU_Max(%),GPU_Avg(%),GPU_Min(%),Mem_Max(%),Mem_Avg(%),Mem_Min(%),Power_Max(W),Power_Avg(W),Power_Min(W),MPS_Limit(%),GPU_Price
1,23.98,0.008,125.12,125.12,57,34.54,30,10.13,9.84,7.27,67.8,45.82,11.85,100.0,19900
2,41.72,0.0139,71.91,143.83,94,89.14,5,12.97,12.6,7.18,81.7,77.29,34.16,50.0,19900
3,54.6,0.0182,54.95,164.85,96,89.24,4,15.65,15.25,7.21,86.97,81.39,45.27,33.33,19900
4,71.9,0.024,41.72,166.89,97,91.41,4,18.81,18.14,7.27,80.57,78.05,37.07,25.0,19900
5,87.86,0.0293,34.15,170.73,97,92.08,4,21.41,20.87,7.38,80.3,77.65,34.35,20.0,19900
6,102.37,0.0341,29.3,175.83,97,93.25,10,23.85,23.43,7.26,79.35,77.53,32.5,16.67,19900
7,118.87,0.0396,25.24,176.66,97,92.77,4,26.48,26.07,7.13,79.45,77.93,45.28,14.29,19900
8,138.35,0.0461,21.69,173.48,99,92.71,5,29.8,28.82,7.01,80.77,77.47,31.84,12.5,19900
9,155.62,0.0519,19.28,173.5,98,93.95,4,32.33,31.69,7.27,79.72,78.17,45.14,11.11,19900
10,174.01,0.058,17.24,172.42,98,94.2,4,34.98,34.39,7.22,79.91,78.25,41.07,10.0,19900
11,192.84,0.0643,15.56,171.12,99,94.47,5,38.1,37.09,7.17,80.28,78.4,36.69,9.09,19900
12,208.22,0.0694,14.41,172.9,99,94.47,2,41.97,39.9,7.45,81.33,77.88,35.78,8.33,19900
13,219.57,0.0732,13.66,177.63,99,94.59,1,42.9,41.58,6.42,80.58,76.74,34.26,7.69,19900
14,228.28,0.0761,13.14,184.01,99,94.62,2,44.96,44.09,6.14,78.72,75.91,29.34,7.14,19900
15,244.77,0.0816,12.26,183.86,99,93.94,0,47.38,46.58,5.88,78.97,75.86,33.18,6.67,19900
16,263.39,0.0878,11.39,182.24,99,93.01,0,50.04,49.27,5.78,80.5,76.48,20.89,6.25,19900
17,269.23,0.0897,11.14,189.43,99,97.17,0,52.76,51.8,5.78,81.48,79.69,18.35,5.88,19900
