Users,Total_Time(s),Avg_YOLO_FPS,GPU_Max(%),GPU_Avg(%),GPU_Min(%),Mem_Max(%),Mem_Avg(%),Mem_Min(%),GPU_Price
1,61.86,136.71,39.0,12.66,0.0,12.02,7.62,2.53,26990
2,65.48,126.83,89.0,37.74,0.0,21.52,12.68,2.53,26990
3,73.71,107.6,93.0,45.84,0.0,31.03,17.52,2.53,26990
4,83.43,89.83,93.0,53.45,0.0,40.53,21.94,2.53,26990
5,94.05,76.44,88.0,59.17,0.0,50.05,26.27,2.53,26990
6,104.09,66.65,93.0,63.06,0.0,59.55,30.66,2.53,26990
7,116.02,59.09,94.0,66.47,0.0,69.05,34.98,2.53,26990
8,125.49,53.28,93.0,69.48,0.0,78.57,39.08,2.53,26990
9,136.15,48.64,94.0,71.97,0.0,88.08,43.26,2.53,26990
10,147.2,44.44,93.0,74.01,0.0,95.36,47.39,2.53,26990
11,157.54,41.18,93.0,76.27,0.0,96.98,50.86,2.53,26990
